number,quote,author
0,"""Nonprofit Brown Bag sessions set-up a beautiful, non-threatening environment for which organizations can meet one another, share best practices, understand how others are hurdling some of the same obstacles, learn about other services being offered in our community. The sessions have been rewarding, time-efficient, and each time leave us 'wanting more'!""",
1,"""There is no other forum in Claremont to provide networking and institutional/strategic education for local non-profits. SOURCE and the Brown Bag Series are extremely important resources for fostering the philanthropic community in our town.""",
